"Freq [GHz]","im(Y(JJ,JJ)) []","re(Y(JJ,JJ)) []"
3.51411312905032,0.00203861577233264,1.99479893020238E-09
3.51425714057125,0.00203870317299799,1.99500461583302E-09
3.51440115209217,0.00203879057419122,1.99521032619778E-09
3.51454516361309,0.00203887797591239,1.99541605985907E-09
3.51468917513401,0.00203896537816152,1.99562181555282E-09
3.51483318665493,0.00203905278093867,1.99582759687216E-09
3.51497719817585,0.00203914018424387,1.99603340067952E-09
3.51512120969678,0.00203922758807718,1.99623922994348E-09
3.5152652212177,0.00203931499243861,1.99644508187349E-09
3.51540923273862,0.00203940239732822,1.99665095988916E-09
3.51555324425954,0.00203948980274604,1.99685685880591E-09
3.51569725578046,0.00203957720869213,1.99706278377813E-09
3.51584126730138,0.00203966461516651,1.99726873152943E-09
3.51598527882231,0.00203975202216924,1.9974747036753E-09
